,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,zhangye,0,CN,1580712668,10,38.93,100.45,37.69,10.36
88,mikkeli,100,FI,1580712669,97,61.67,27.25,26.01,5.99
89,karratha,78,AU,1580712669,78,-20.74,116.85,82.96,14.83
90,east london,16,ZA,1580712669,61,-33.02,27.91,82.4,5.82
91,mahebourg,75,MU,1580712669,83,-20.41,57.7,84.0,17.22
92,sioux lookout,90,CA,1580712542,79,50.1,-91.92,26.6,13.87
93,cabo san lucas,90,MX,1580712670,93,22.89,-109.91,66.0,4.7
94,isangel,20,VU,1580712670,66,-19.55,169.27,86.0,9.17
95,boden,66,SE,1580712670,79,65.83,21.69,23.0,19.46
96,guaruja,90,BR,1580712670,94,-23.99,-46.26,68.0,3.36
97,berlevag,75,NO,1580712670,64,70.86,29.09,33.8,31.09
98,chokurdakh,44,RU,1580712671,89,70.63,147.92,-24.34,12.57
99,isiro,39,CD,1580712671,32,2.77,27.62,71.96,1.07
100,kazanka,40,UA,1580712671,86,47.85,32.82,39.2,11.18
101,goderich,100,CA,1580712671,85,43.75,-81.72,37.0,18.57
102,bonthe,20,SL,1580712671,95,7.53,-12.51,75.51,3.91
103,port alfred,5,ZA,1580712671,71,-33.59,26.89,81.0,5.48
104,severo-kurilsk,27,RU,1580712672,83,50.68,156.12,12.83,9.48
105,mount isa,75,AU,1580712424,32,-20.73,139.5,95.0,4.7
106,port hedland,29,AU,1580712672,47,-20.32,118.57,98.6,14.99
107,vila franca do campo,20,PT,1580712672,81,37.72,-25.43,51.8,8.05
108,hobyo,22,SO,1580712672,59,5.35,48.53,79.38,21.32
109,saskylakh,96,RU,1580712673,85,71.92,114.08,-20.36,3.49
110,kruisfontein,0,ZA,1580712673,64,-34.0,24.73,77.04,2.71
111,kapaa,40,US,1580712673,83,22.08,-159.32,73.4,11.41
112,iqaluit,90,CA,1580712673,71,63.75,-68.51,6.8,10.29
113,dakar,100,SN,1580712582,60,14.69,-17.44,71.6,3.36
114,katsuura,75,JP,1580712673,41,35.13,140.3,57.99,14.99
115,north bend,75,US,1580712674,100,43.41,-124.22,37.0,2.55
116,puerto madryn,36,AR,1580712674,47,-42.77,-65.04,69.22,26.06
117,ponta do sol,20,PT,1580712674,82,32.67,-17.1,70.0,6.93
118,coruripe,72,BR,1580712674,83,-10.13,-36.18,79.59,9.26
119,naze,75,JP,1580712674,93,28.37,129.48,59.0,6.93
120,mecca,26,SA,1580712675,44,21.43,39.83,72.93,1.57
121,wukari,0,NG,1580712675,21,7.85,9.78,65.68,5.88
122,yaan,0,NG,1580712675,19,7.38,8.57,67.57,4.7
123,tazovskiy,100,RU,1580712675,93,67.47,78.7,-1.26,15.75
124,teguldet,100,RU,1580712675,90,57.31,88.17,5.7,7.96
125,solnechnyy,100,RU,1580712676,95,50.72,136.63,-1.41,3.53
126,sola,43,VU,1580712676,73,-13.88,167.55,84.43,6.42
127,caranavi,100,BO,1580712425,99,-15.82,-67.55,62.56,3.02
128,kaitangata,100,NZ,1580712676,76,-46.28,169.85,66.0,4.81
129,ayr,75,GB,1580712676,75,55.46,-4.63,44.6,25.28
130,jega,49,NG,1580712677,17,12.22,4.38,59.5,11.45
131,geraldton,0,AU,1580712677,28,-28.77,114.6,95.0,19.46
132,egvekinot,14,RU,1580712677,91,66.32,-179.17,-17.72,14.7
133,salalah,42,OM,1580712677,53,17.02,54.09,77.0,2.24
